Gene	SRR3189679	SRR3189680	SRR3189681	SRR3189682	SRR3189683	SRR3189684	SRR3189685	SRR3189686	SRR3189687	SRR3189688	SRR3189689	SRR3189690	SRR3189691	SRR3189692	SRR3189693	SRR3189694	SRR3189695	SRR3189696	SRR3189697
ENSMUSG00000000001	15.66237711687108	14.020691522659178	15.555237673496261	12.530302692282373	30.260702375583335	21.88635065028355	16.977009602480425	15.910324818470475	13.964012082070788	20.33431464623326	11.648719268394112	15.173052205499708	23.691736532165294	25.125880334091683	17.408527565474127	19.02174771396133	14.434415861472182	17.99931013234367	15.49715624364096
ENSMUSG00000000003	0.02856262247307973	0.036579343067061135	0.4199643937629119	0.02197858667796524	0.07553235662558486	0.06415830328198455	0.05491574472671929	0.03367995078795199	0.04635835972417437	0.058367917476556674	0.033989725803229946	0.06048005710517845	0.12508106103339464	0.07963392007249298	0.05026406735185754	0.06219031607641433	0.04609207853053203	0.055518277200405995	0.08376849618676617
ENSMUSG00000000028	5.150481276586757	7.498046073192132	5.717151644436064	5.034920002546793	11.635079018585444	12.077084055357922	8.502685615351682	7.605634922648299	5.431772706781434	7.401168680759508	9.781359828497607	9.532715663996242	8.701791977025827	7.9587045536675225	8.861361158198742	8.829695861552288	7.839187402838124	8.560791709723594	6.990834440874033
ENSMUSG00000000031	0.9237747351499545	0.6227608188437739	0.03741034072797474	0.41867894580797704	0.07553235662558486	0.06415830328198455	1.3842950656335464	0.49788288101171924	0.04635835972417437	1.2429437808151014	0.5118457237755205	0.803937251994271	2.510960143290685	1.560482777811315	1.4246944140960351	0.06219031607641433	0.7545872924463981	0.3488498756073962	0.08376849618676617
ENSMUSG00000000037	2.9476756994631583	3.0471557681514936	2.8519918307981587	3.006277684398084	4.073379264981902	3.221717911025525	2.8476445710938285	2.720893056356663	2.6689576678246025	3.995018849958247	2.276475450644563	3.38086524592351	2.5237563336799025	3.9327926972650005	3.8166118644126112	3.075950931403839	3.3127658747255144	2.887687379857445	3.2116488323469947
ENSMUSG00000000049	0.4035691019092521	0.036579343067061135	0.03741034072797474	0.41572990849174846	0.07553235662558486	0.06415830328198455	0.05491574472671929	0.03367995078795199	0.04635835972417437	0.058367917476556674	0.033989725803229946	0.06048005710517845	0.12508106103339464	0.07963392007249298	0.05026406735185754	0.06219031607641433	0.04609207853053203	0.055518277200405995	0.08376849618676617
ENSMUSG00000000056	5.601388380054482	6.27807002166546	5.92760593390638	7.147899552945424	7.480145578549747	11.932505223858453	8.598338999778678	7.014218233010123	5.970887776126563	4.921066473091929	7.315983886575394	4.819448015223932	5.91025231837341	6.031086171232964	7.197199445075519	4.512273114810428	6.03300447067179	5.705312311241614	4.244423484737399
ENSMUSG00000000058	3.3980898929189545	2.7379006013506	3.4278332941380425	3.7326620018017906	3.2273509665171893	3.184576087058748	3.17409244415853	2.5854272744730493	2.7711712948841853	3.2585850953033835	3.5835439797124966	2.2643911621004498	3.416998664097972	4.14226530317046	3.5923061951102944	3.5718310272288734	2.9118634221510558	3.7369107145140577	3.0910860857207787
ENSMUSG00000000078	9.047701295948704	9.747571270851072	9.171093758881193	9.733709866188253	7.206914994778833	18.82520370818335	20.01182037318644	13.448449933562356	15.762446387110598	5.370334959369783	17.627957685897158	5.651179124018679	8.883215499397137	6.928067652442371	20.91420718106331	6.289831909787648	8.206712627577508	10.992601452976706	5.252032108333409
ENSMUSG00000000085	6.636539974474487	5.9111667281681	6.409587432338404	6.366368434941528	5.852517041759944	5.440739277987064	5.27458797460066	5.815858124714814	5.747012812576698	7.6266632078871535	4.401668583092803	8.169552187269826	7.578602121869514	5.508399997065434	5.129524118699004	7.267281647677477	6.573750761798741	5.115358638333036	5.755724548301548
ENSMUSG00000000088	9.237976164726174	8.073520684720435	8.755246290563973	6.333605382424826	18.126031187544143	5.883343163175027	8.670121564029603	9.752253775358035	12.577906090823712	17.013499229160157	7.089455543246768	22.448803040609537	35.038973335052084	20.383212775622972	7.166812492721429	17.08912292987881	12.874232847080126	10.38258969500421	18.138421973516728
ENSMUSG00000000093	0.2827464146139591	0.5063159204880515	0.3756168978422558	0.47619570565207614	0.5096209289754776	0.06415830328198455	0.05491574472671929	0.03367995078795199	0.4754290738311968	0.058367917476556674	0.4811589516072051	0.06048005710517845	0.12508106103339464	0.07963392007249298	0.05026406735185754	0.49658355095694817	0.04609207853053203	0.44618942634533015	0.45724566976458564
ENSMUSG00000000094	0.534016260935466	0.5563515159868557	1.034087993980561	0.9645237849387995	0.967724478049886	0.5214603638118852	0.8037168017194648	1.0610816318793383	0.38094666425926793	0.40613090356094794	0.5488630983973906	0.580819551184055	0.12508106103339464	1.8967236392776263	2.033434910766651	1.4241589555435779	1.8550232036508558	1.5612432771761087	1.4121748563246452
ENSMUSG00000000103	0.02856262247307973	0.036579343067061135	0.03741034072797474	0.02197858667796524	0.07553235662558486	0.06415830328198455	0.5017721609586521	0.03367995078795199	0.3736952836208675	0.5688836350646487	0.033989725803229946	0.6102864615097945	0.12508106103339464	0.07963392007249298	0.05026406735185754	0.06219031607641433	0.04609207853053203	0.055518277200405995	0.08376849618676617
ENSMUSG00000000120	0.5158661129575348	0.8417948695412849	0.7262123625424041	0.2677817157285984	2.2010903188705124	1.8821575300974704	0.607428470789664	0.7659651219560999	0.5119845438359597	0.37235729657105854	0.8460830428911743	1.0547207813542814	0.12508106103339464	2.375512935471638	1.3713375604770064	0.9949355448017155	0.9931274301887867	0.5285476598575377	0.6164087173991987
ENSMUSG00000000125	0.2813018707821921	0.8831070288398015	0.4093994804676958	0.606715779777708	0.07553235662558486	0.4948436668445642	0.4835248945310886	0.03367995078795199	0.5097583066326368	0.372540448180956	0.7542523343364587	0.6859479758808699	1.134728478979915	0.07963392007249298	0.42599033542550285	0.06219031607641433	0.40996870008294883	0.055518277200405995	0.08376849618676617
ENSMUSG00000000126	0.02856262247307973	0.036579343067061135	0.03741034072797474	0.2691254974708621	0.07553235662558486	0.06415830328198455	0.6663421828022208	0.03367995078795199	0.04635835972417437	0.37700677670970817	0.9397192634476775	0.06048005710517845	0.7627665407751356	0.45139133114205426	0.05026406735185754	0.06219031607641433	0.7222713566951707	0.7437990315781592	0.6371745906582786
ENSMUSG00000000127	3.713748276874444	3.473517796954817	3.6866801474203976	4.651863018602475	3.084466711149153	3.212729041759307	2.964672389415895	4.0269483137856685	3.347414679068464	4.85641880947802	3.545556840723174	2.9381300830279926	2.8390402379862887	2.8393645301653834	3.0646355557751668	3.5363669513874365	3.35984618832701	4.051469190224173	4.239065592231555
ENSMUSG00000000131	10.65972254168165	11.497411601085258	9.929943516152207	9.47082640528028	18.51023757741943	9.29089083448788	10.624432747651777	7.812153191295257	8.12195477980748	8.698492242363933	9.333313328808842	8.531610342528522	4.892324012066496	18.275640424938175	9.443033259954007	10.453828399666229	12.119833661674397	9.626272730828012	8.578218238946013
ENSMUSG00000000134	4.729225042566934	4.542902401395952	4.401139825693194	4.486179391584617	5.657059631235114	4.777534616792108	4.576097744641136	4.092813741644772	5.477813489175279	4.059144750590446	3.8206560774197253	4.127561299093968	3.2131075540545067	5.243447172122342	4.398859319138385	4.641366830532594	4.6766076307861075	4.124885966094434	4.247535234709154
ENSMUSG00000000142	1.1246270544998742	1.4949508612669848	1.2132351636054814	1.0226315476045018	1.841698384107992	1.482947502148042	0.7588677829736175	1.2344928403319642	0.04635835972417437	0.930175919362491	0.3815337461823122	0.8159044001686143	1.7731021442530746	1.4438344079836796	1.0400053180256652	2.2122089546128834	1.7792935475436336	1.8381502496392688	1.2640549840294413
